Week,NVAX,CODX,FRO,OXY,VRTX,JEF,TTNP,SPCE,XOM,CVX,GE,TSLA,ATT,VZ,AMZN,HPQ,BGNE,IMAB,NIO,PLTR
2019-12-01,4,0.5,51,30,2,25,15,4,3,1,54,8,100,9,30,42,44,0,5,0.0
2019-12-08,3,0.5,47,34,2,31,20,8,3,1,51,9,85,8,27,31,45,15,5,0.0
2019-12-15,3,0.5,44,30,1,33,11,6,3,1,49,16,87,9,28,35,53,15,5,0.5
2019-12-22,2,0.5,36,26,1,28,8,6,3,1,49,15,95,8,32,20,34,0,5,0.5
2019-12-29,3,0.5,39,30,1,28,22,6,3,1,53,14,90,8,30,21,24,32,15,0.0
2020-01-05,4,0.5,45,36,2,36,38,7,4,1,53,22,83,10,39,42,36,15,9,0.0
2020-01-12,5,0.5,47,34,2,33,46,15,3,1,54,28,79,9,32,37,14,77,11,0.0
2020-01-19,20,3.0,49,33,1,32,71,28,4,1,51,24,78,9,27,27,29,88,13,0.5
2020-01-26,15,8.0,51,33,2,36,36,16,5,2,55,36,75,10,73,32,43,21,10,0.0
2020-02-02,9,8.0,49,34,3,37,34,15,6,1,52,88,77,10,50,29,43,43,11,0.0
2020-02-09,11,10.0,53,31,2,30,37,43,5,1,52,36,78,10,50,46,36,36,9,0.0
2020-02-16,7,5.0,57,33,2,28,18,100,4,1,51,33,75,8,34,37,28,28,8,0.5
2020-02-23,24,36.0,50,42,3,28,31,74,8,2,53,38,76,11,58,75,41,21,10,0.5
2020-03-01,33,39.0,49,42,2,28,100,34,8,2,53,30,82,12,49,41,34,14,7,0.0
2020-03-08,23,37.0,55,100,3,32,34,28,18,4,55,34,78,16,74,43,14,35,7,0.0
2020-03-15,18,26.0,46,75,2,28,31,17,14,4,57,36,82,17,83,53,20,20,6,0.0
2020-03-22,21,16.0,53,67,2,26,35,20,13,5,62,26,83,16,62,61,53,40,5,0.0
2020-03-29,16,13.0,57,73,2,29,31,15,12,4,57,22,78,14,45,51,19,13,4,0.0
2020-04-05,15,13.0,54,69,2,33,18,13,12,4,55,16,74,11,41,32,39,39,4,0.0
2020-04-12,17,14.0,54,69,3,25,17,22,12,4,59,27,83,11,79,38,44,13,5,0.0
2020-04-19,23,14.0,56,78,2,31,15,14,16,5,58,19,78,11,61,25,31,25,4,0.5
2020-04-26,17,12.0,58,65,3,29,17,14,12,3,61,35,75,9,100,40,19,38,6,0.0
2020-05-03,14,13.0,56,66,2,27,46,22,10,2,61,23,77,9,52,41,25,25,6,0.0
2020-05-10,60,40.0,54,55,4,36,49,17,9,2,60,21,80,10,45,43,52,13,5,0.5
2020-05-17,39,17.0,52,55,2,24,28,16,9,2,62,14,84,10,49,81,20,59,5,0.0
2020-05-24,34,10.0,52,54,2,30,21,22,6,2,63,13,84,10,35,100,20,34,7,0.0
2020-05-31,32,8.0,50,60,2,25,45,25,8,2,61,19,81,10,39,80,26,13,13,0.0
2020-06-07,20,9.0,51,81,3,38,44,17,10,2,62,28,81,10,55,53,13,13,13,0.5
2020-06-14,30,7.0,50,59,2,32,18,13,8,2,59,20,85,10,43,36,35,14,14,0.5
2020-06-21,41,6.0,46,51,4,28,48,25,7,2,59,16,83,11,49,24,28,21,13,0.0
2020-06-28,29,5.0,49,46,3,29,24,15,5,2,60,25,84,10,50,36,57,0,17,0.0
2020-07-05,55,4.0,49,41,3,32,18,22,6,2,61,42,84,10,76,34,28,0,51,0.0
2020-07-12,53,5.0,47,39,3,33,17,31,6,2,58,52,85,11,77,42,100,43,39,0.5
2020-07-19,54,8.0,46,44,3,46,30,32,6,2,58,57,86,12,80,29,57,57,28,0.0
2020-07-26,36,6.0,52,37,3,34,15,27,7,2,61,31,88,10,95,31,22,22,20,0.5
2020-08-02,65,10.0,48,44,3,34,12,32,6,2,59,21,94,10,59,32,29,22,25,0.0
2020-08-09,63,11.0,50,47,3,28,14,19,6,2,56,36,88,10,52,31,0,14,26,0.0
2020-08-16,42,9.0,48,45,2,26,12,15,6,2,55,51,90,8,57,29,35,0,20,0.0
2020-08-23,44,8.0,50,39,2,27,10,13,8,2,56,47,87,9,57,78,27,27,47,2.0
2020-08-30,37,4.0,53,37,3,60,11,15,6,2,54,90,85,10,65,39,20,54,32,1.0
2020-09-06,26,7.0,50,40,2,62,6,16,6,2,54,62,81,9,52,31,13,34,21,1.0
2020-09-13,32,6.0,53,42,2,32,14,15,6,2,54,49,83,9,50,26,40,40,22,1.0
2020-09-20,26,4.0,52,37,2,30,7,12,6,2,51,64,78,8,57,33,20,34,20,2.0
2020-09-27,24,4.0,51,38,2,23,7,27,7,2,50,37,84,8,48,22,29,36,28,48.0
2020-10-04,22,3.0,52,38,2,27,7,19,6,2,51,30,76,8,46,27,44,29,23,25.0
2020-10-11,22,3.0,46,35,6,37,13,19,6,2,57,28,91,9,60,36,47,16,45,17.0
2020-10-18,25,3.0,47,39,4,32,12,24,6,2,59,37,91,10,49,31,24,40,35,11.0
2020-10-25,21,4.0,48,40,4,21,34,16,8,2,60,24,91,9,69,19,24,32,39,18.0
2020-11-01,15,3.0,38,28,2,17,23,14,5,2,48,20,78,8,49,19,27,13,60,18.0
2020-11-08,29,5.0,48,40,1,24,36,19,8,2,61,22,94,10,56,21,15,30,84,44.0
2020-11-15,28,7.0,47,40,2,22,75,25,7,3,65,54,99,10,51,35,18,54,100,60.0
